ItemID,Sentiment,SentimentText
1,0,"Dmn, I should write my book..It's about a mont til last time.. I'm sooo lazy person.  Help me someone!"
2,1,so very happy to be here... 
3,0,and excuse the language but fuck! Damn swine flu made me adjust my holiday plans 
4,0,@urahoho I got lost and got on HOV by mistake 
5,1,@magdalenahh http://twitpic.com/6q1zl - You are adorable! I love this look 
6,1,Ahhh the joy of my bed! Long day!! Watch the awards April 26  gnight lovlies xoxo
7,0,The best way to get on a bus is obviously to fall onto it.  i feel like such a tit. 
8,1,@leonardspeiser thats great! never knew about it  thanks!
9,1,@babymakinmachin thanks for the shout out!   Did you ever find a good flight?
10,0,"Even Tho we werent Like that, I kinda feel like my wife just left me. "
11,0,biology: the reason why i hate science 
12,0,I have to start getting ready in an hour 
13,1,"@remzology ohh,..    i saw a few pages with NRIPL but was wonderign what it is "
14,1,@marijahh haha i like your style 
15,0,"Why do I get up in the early morning on a sunday to go work out? O right, I don't want to miss Formula1 "
16,0,@mitchelmusso mitchel! i really want to be there tonight but i dont have a ride 
17,0,blecch! my hands smell like nail polish remover 
18,1,Just watched Taken. Liam Neeson at his best. 
19,1,Liked intensives! But he's excited to see if Lorna's letter came in the mail today! 
20,0,feather duster and hoover kind of day today 
21,0,And then two huge girls sit next to me and eat hamburgers with their mouth open 
22,1,1 hour for a shane dawson videoo! 
23,1,@JaneDoes The stalker coat with nothing underneath   (via @KCPL) LOL
24,0,I don't want my daddy to go to Iran 
25,0,Tomorrow is my last regular day of schoool  but then I have review day and exams...  bcfjrepwlsxjfru bedddd
26,1,Was looking out holiday clothes  getting more and mor excited ! 5 days!
27,0,"is bored at college, miss my babyyyyyyyyyy  xx xx xx"
28,0,Tomorow I have a doctors appointment...I've been told to report to the &quot;Chipmunk Desk&quot;...this sounds less than promising... 
29,1,@MileyMandyFan7 that sounds fun  shes working today but maybe later  good idea
30,1,Section 8 is dead for new comers lol it politcally correct to say low income housing 
31,0,missing my taylor  I hate the summer when she goes to her dads
32,0,Missin him.. when he leaves its like he's gone forever! 
33,1,Sweetdreams Tweeple!  mwaaaaaaaah!!
34,1,@dean_cummings 60's music is my favourite! 
35,1,@ddlovato omg lala land has been in my head all day it's getting annoying to me and my friends and well... Anyone around me haha  &lt;3
36,0,"@AbeFrellman @Humpybong Yes, I know. Got a call from a mysterious no,  but they rang off as I answered. No one wants to hang with me. "
37,1,Empire of the Sun â€“ We Are The People // My makes me happy sunny song  â™« http://blip.fm/~8b88k
38,0,at fred meyers.. wishing I would have made a grocery list 
39,0,@leztah The dayem computer  #twpp
40,1,"@Metroliner Well then, that iMac is a huge upgrade for ya!  Enjoy it   I'm still jealous."
41,0,@thegame713 that would be a homo sexual act man 
42,0,@Pinkela Oh snap...that was what did me in...now I'm a twitter maniac   ::sigh::
43,1,@funimation so when will the next part of school rumble be out  please tell me cuz @_MAXWELL_ wont FEED ME so i need something
44,1,"@UKShopping Nope, still not exhibiting any signs of Pig Flu just yet (good thing as I may be visiting my nephew in hospital later!) "
45,1,@juniperus I make greeting cards that say EFFING on them!  http://effing.cc
46,1,@VAEOU And the mac is back? 
47,1,Star trek is a great movie. 
48,0,Just not feelin it today! 
49,0,"@jon_said Did I tell you to hush already?! Oh yeah, I DID! "
50,0,only 2 weeks and i'll be almost free. but now the summer haven't started for me 
51,1,Time for bed! 
52,1,just realized a huge fn exam i thought was tomorrow is actually next week. phewww now there's even more time to procrastinate 
53,1,@PANDUHF00D You should look at my Myspace. 
54,0,"The Beck album club thing is Amazing. I think I will do my own version, whereby I just listen instead of reinterpret. My Twitter is dying "
55,0,@hello_jodie we already did hoppusday and barkerday. 
56,0,@MsStylistik can u pls put up a pic in my default section... this crap is overwhelming...  im going to bed. lol
57,0,#Transformers 1 was much better than #Transformers 2; it just didn't captivate me as much   The first film made me grin so much 
58,0,@tierawheeler no  i just had a really bad day. &amp; The worst sun burn on my back in my life. you can see the bow/string line D:
59,0,@NixiePixel what happened to your cat?? 
60,1,NoPantsDance Tumblr: allcreaturesvia plus61) look at how happy they are!!  http://tinyurl.com/kn9t3w
61,1,@vivalanina check out our site for long distance relationship support!   http://www.lovingfromadistance.com/thingsforldrcouplestodo.html
62,0,cant do acrobatics like she used to ... 3 months ago 
63,1,@trent_reznor Ahh. Thanks for the clarification 
64,1,"@GrammarPolice09 It's a play on words Mister Officer Sir! iamdiddy, iampritty...get it?  I know my rights."
65,0,My man is out for the day 
66,1,@iPodiTouchiFon Hi ! me too  Do you agree with some kind of link exchange (i.e. blogroll) ?
67,0,@a_lil_spaz Hey hun I'm really sorry I can't come tonight  I've had to work and haven't even started studying for my exam Monday. Poo.
68,0,"@Treewisher *sigh* epic fail. Luckily, the problem is known by Twitter and they are working to fix it now. I'll try in the morning dearie "
69,0,"@CHactingNYC Haha I have always preferred dogs, but my mum doesn't like them   My fave is German Shepards "
70,1,I love this little walk home in the morning. Always refreshing 
71,1,Posted a CL ad for some PT employment. My first two and only responses were from the army and a secret shopping gig with 20+ typos. 
72,0,"I'm up now. Had to twist, turn and spin around to get there.. Bit like an alligator but with no food  I want food.."
73,1,"@razzberrymomma LMAO, no that's not bad at all. It does give me an interesting idea though so thanks! "
74,1,New music dropping soon! I'm seeeeeerious.....just gotta get it right 
75,0,@Mindy_Aleece TOO FAST  I need more weekend and less work week.
76,0,@swellvintage i'm freezing too 
77,1,is excited for McFly 
78,1,@benjibrum Know the feeling... good job you can't have babies .. that's my excuse... really I'm just greedy!! 
79,0,"1.75 miles down, 1.25 to go. Sad that 3 miles kicks my ass this much. "
80,1,"@NCStockGuy thx - sure it is helpful, on the other hand, took years to settle into my bare bones sys and am VERY protective of it "
81,0,@thenaje that doesn't sound good. 
